,Zone_Name,Mandal_Name,To_GP,Span_ID,Chainage_From,Chainage_To,Length,Offset,Depth,Trench_Side,Duct_Laid,Method_Execution,Crossing,Strata_Type,Protect_Dwc,Protect_Gi,Protect_Rcc,Protect_Pcc,Rcc_Chamber,Rcc_Marker,Remark
331,,,,,3130,3140,10,1.8,1.5,LHS,10,OT,,NORMAL,,,,,,,
332,,,,,3140,3150,10,1.9,1.5,LHS,10,OT,,NORMAL,,,,,,,
333,,,,,3150,3160,10,1.8,1.5,LHS,10,OT,,NORMAL,,,,,,,
334,,,,,3160,3170,10,1.8,1.5,LHS,10,OT,,NORMAL,,,,,,,
335,,,,,3170,3180,10,2.5,1.4,LHS,10,OT,,NORMAL,,,,,,,
336,,,,,3180,3190,10,2.5,1.4,LHS,10,OT,,NORMAL,,,,,,,
337,,,,,3190,3200,10,2,1.41,LHS,10,OT,,NORMAL,,,,,,,
338,,,,,3200,3210,10,2,1.42,LHS,10,OT,,NORMAL,,,,,,,
339,,,,,3210,3220,10,2,1.42,LHS,10,OT,,NORMAL,,,,,,,
340,,,,,3220,3230,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,
341,,,,,3230,3240,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,
342,,,,,3240,3250,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,AT CH:3245 CP
343,,,,,3250,3260,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,
344,,,,,3260,3270,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,
345,,,,,3270,3280,10,2.1,1.4,LHS,10,OT,,NORMAL,,,,,,,
346,,,,,3280,3286,6,2.1,1.3,LHS,6,OT,,Hard,,,,,1,1,AT CH:3286 HH5
347,,,,,3286,3289,3,2.1,1.3,LHS,3,OT,Extension,Hard,,3,,,,,Road Extension
348,,,,,3289,3293,4,2.1,1.42,LHS,4,OT,Road,NORMAL,,4,,,,,Road
349,,,,,3293,3296,3,2.1,1.42,LHS,3,OT,Extension,NORMAL,,3,,,,,Road Extension
350,,,,,3296,3300,4,2.1,1.42,LHS,4,OT,,NORMAL,,,,,,,
351,,,,,3300,3310,10,2.1,1.42,LHS,10,OT,,NORMAL,,,,,,,
352,,,,,3310,3313,3,2.1,1.42,LHS,3,OT,Extension,NORMAL,,3,,,,,Road Extension
353,,,,,3313,3317,4,2.5,1.4,RHS,4,OT,Road,NORMAL,,4,,,,,Road
354,,,,,3317,3320,3,2.5,1.4,RHS,3,OT,Extension,NORMAL,,3,,,,,Road Extension
355,,,,,3320,3330,10,2.6,1.4,RHS,10,OT,,NORMAL,,,,,,,
356,,,,,3330,3340,10,2.5,1.4,RHS,10,OT,,NORMAL,,,,,,,
357,,,,,3340,3350,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
358,,,,,3350,3360,10,2.6,1.4,RHS,10,OT,,NORMAL,,,,,,,
359,,,,,3360,3370,10,2.5,1.4,RHS,10,OT,,NORMAL,,,,,,,
360,,,,,3370,3380,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
361,,,,,3380,3390,10,2.6,1.4,RHS,10,OT,,NORMAL,,,,,,,
362,,,,,3390,3400,10,2.6,1.4,RHS,10,OT,,NORMAL,,,,,,,
363,,,,,3400,3410,10,2.5,1.4,RHS,10,OT,,NORMAL,,,,,,,
364,,,,,3410,3420,10,2.6,1.4,RHS,10,OT,,NORMAL,,,,,,,
365,,,,,3420,3423,3,2.6,1.4,RHS,3,OT,,NORMAL,,,,,,,
366,,,,,3423,3430,7,2.5,1.4,RHS,7,OT,,NORMAL,,,,,,,
367,,,,,3430,3440,10,2.5,1.4,RHS,10,OT,,NORMAL,,,,,,,
368,,,,,3440,3450,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
369,,,,,3450,3460,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
370,,,,,3460,3470,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
371,,,,,3470,3480,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
372,,,,,3480,3490,10,2.6,1.42,RHS,10,OT,,NORMAL,,,,,,,
373,,,,,3490,3500,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
374,,,,,3500,3507,7,2.5,1.42,RHS,7,OT,,NORMAL,,,,,,,
375,,,,,3507,3510,3,2.5,1.42,RHS,3,OT,,NORMAL,,,,,,,DWC
376,,,,,3510,3520,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,GI
377,,,,,3520,3530,10,2.6,1.42,RHS,10,OT,,NORMAL,,,,,,,GI
378,,,,,3530,3535,5,2.5,1.41,RHS,5,OT,EXTENSION,NORMAL,,5,,,,,CULVERT EXTENSION
379,,,,,3535,3539,4,2.7,1.42,RHS,4,OT,CULVERT,NORMAL,,4,,,,,CULVERT
380,,,,,3539,3544,5,2.7,1.42,RHS,5,OT,EXTENSION,NORMAL,,5,,,,,"CULVERT EXTENSION,CP @ 3544"
381,,,,,3544,3550,6,2.5,1.42,RHS,6,OT,,NORMAL,,,,,,,
382,,,,,3560,3570,10,2.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
383,,,,,3570,3580,10,2,1.2,RHS,10,OT,,HARD,10,,,,,,
384,,,,,3580,3590,10,2,1.42,RHS,10,OT,,NORMAL,,,,,,,
385,,,,,3590,3600,10,2,1.42,RHS,10,OT,,NORMAL,,,,,,,
386,,,,,3600,3610,10,1.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
387,,,,,3610,3620,10,1.5,1.42,RHS,10,OT,,NORMAL,,,,,,,
388,,,,,3620,3627,7,2,1.42,RHS,7,OT,,NORMAL,,,,,,,
389,,,,,3627,3630,3,2.28,1.42,LHS,3,OT,Extension,NORMAL,,3,,,,,Road Extension
390,,,,,3630,3634,4,1.5,1.42,LHS,4,OT,Road,NORMAL,,4,,,,,Road
391,,,,,3634,3637,3,1.5,1.22,LHS,3,OT,Extension,HARD,,3,,,,,Road Extension
392,,,,,3637,3643,6,1.5,1.2,LHS,6,OT,,HARD,6,,,,,,
393,,,,,3643,3646,3,1.5,1.2,LHS,3,OT,,HARD,3,,,,,,
394,,,,,3646,3650,4,1.5,1.2,LHS,4,OT,,HARD,4,,,,1,1, AT CH:3650 MH3
395,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,
